step,wall_time,Environment_Cumulative_Reward,Environment_Episode_Length,Losses_Policy_Loss,Losses_Value_Loss,Policy_Beta,Policy_Entropy,Policy_Epsilon,Policy_Extrinsic_Reward,Policy_Extrinsic_Value_Estimate,Policy_Learning_Rate
10000,1775323691.1371827,,,,,,2.2847094535827637,,,108.38336181640625,
20000,1775323713.868488,,,0.02216051146388054,1399.2745361328125,0.004972854629158974,2.311732530593872,0.19945600628852844,,-45.4426155090332,0.0002983679878525436
30000,1775323735.2534163,,,0.02300768904387951,1227.6700439453125,0.004945708904415369,2.310185432434082,0.19891199469566345,,-54.05526351928711,0.00029673599055968225
40000,1775323757.910637,-3382.38232421875,3989.0,0.019553717225790024,925.9442138671875,0.004918563179671764,2.3087730407714844,0.19836799800395966,-3382.38232421875,-113.6796875,0.0002951039932668209
50000,1775323779.6643438,,,0.022445503622293472,560.6939086914062,0.004892305936664343,2.287933349609375,0.1978417932987213,,96.3028335571289,0.00029352540150284767
60000,1775323802.3398578,,,0.027246905490756035,1508.6580810546875,0.00486659724265337,2.29258131980896,0.19732660055160522,,-43.790245056152344,0.00029197981348261237
70000,1775323824.2615314,,,0.02921913005411625,1674.8724365234375,0.004839611239731312,2.2992019653320312,0.1967857927083969,,-89.06105041503906,0.0002903573913499713
80000,1775323846.894617,-4184.0693359375,3999.0,0.021571889519691467,929.1220092773438,0.004813903011381626,2.307664394378662,0.19627059996128082,-4184.0693359375,-143.1433868408203,0.000288811803329736
90000,1775323868.9436939,,,0.02173187956213951,1010.0350341796875,0.004787715617567301,2.286208152770996,0.1957457959651947,,42.662967681884766,0.00028723740251734853
100000,1775323891.7569573,,,0.019383152946829796,1259.852783203125,0.004762006923556328,2.2799084186553955,0.1952306032180786,,10.839012145996094,0.00028569181449711323
110000,1775323912.9826665,,,0.025573991239070892,1173.9129638671875,0.00473502092063427,2.291471481323242,0.1946897953748703,,-126.40900421142578,0.00028406939236447215
120000,1775323935.9554884,-3518.951416015625,3999.0,0.022671150043606758,1791.8673095703125,0.004709312692284584,2.301666736602783,0.1941746026277542,-3518.951416015625,-143.6419677734375,0.00028252380434423685
130000,1775323957.903606,,,0.02545878477394581,989.4707641601562,0.004683124832808971,2.310039520263672,0.1936497986316681,,11.20545768737793,0.0002809494035318494
140000,1775323980.147416,,,0.0273746345192194,1080.652099609375,0.004657416604459286,2.321094036102295,0.193134605884552,,-59.792823791503906,0.0002794038155116141
150000,1775324001.4692314,,,0.02296951599419117,1095.85400390625,0.004630430601537228,2.3071541786193848,0.1925937980413437,,-102.54876708984375,0.000277781393378973
160000,1775324023.5946672,-2840.8505859375,3999.0,0.02782043069601059,1095.293212890625,0.004604721907526255,2.2952167987823486,0.1920786052942276,-2840.8505859375,-112.74788665771484,0.0002762358053587377
170000,1775324045.2186844,372.0990905761719,714.0,0.02327021397650242,562.7486572265625,0.004578584339469671,2.3040771484375,0.19155479967594147,372.0990905761719,57.49369812011719,0.0002746644022408873
180000,1775324067.8673248,,,0.027117732912302017,1066.94482421875,0.004552931059151888,2.316215753555298,0.19104069471359253,,-26.355791091918945,0.0002731221029534936
190000,1775324089.047926,,,0.021344060078263283,982.8070068359375,0.004527222365140915,2.318190097808838,0.19052550196647644,,-61.26386642456055,0.0002715765149332583
200000,1775324111.6149647,-877.2203979492188,3999.0,0.0201330054551363,1146.18603515625,0.004501194693148136,2.3142683506011963,0.190003901720047,-877.2203979492188,-72.16627502441406,0.00027001171838492155
210000,1775324130.6383538,-6076.51953125,3999.0,,,,2.2825698852539062,,-6076.51953125,-6.143637180328369,
220000,1775324153.2365804,,,0.02974632754921913,736.902099609375,0.004475485999137163,2.310105562210083,0.18948869407176971,,-22.769805908203125,0.0002684661012608558
230000,1775324174.7622936,2096.2763671875,2997.0,0.023080382496118546,939.1486206054688,0.0044497777707874775,2.3118183612823486,0.18897350132465363,2096.2763671875,-43.59598922729492,0.0002669205132406205
240000,1775324197.3791163,-1474.446533203125,3999.0,0.026933951303362846,641.5911865234375,0.004424094222486019,2.33089280128479,0.18845880031585693,-1474.446533203125,-116.15913391113281,0.0002653764095157385
250000,1775324219.3850098,-5181.4130859375,3999.0,0.026005595922470093,989.5792236328125,0.0043983059003949165,2.3230836391448975,0.1879419982433319,-5181.4130859375,-42.15403747558594,0.0002638260193634778
260000,1775324242.1347203,,,0.025905000045895576,829.0093994140625,0.0043725972063839436,2.2966415882110596,0.18742680549621582,,1.4972604513168335,0.00026228040223941207
270000,1775324263.7433014,-4513.00390625,3999.0,0.01857544668018818,862.099853515625,0.004346888978034258,2.308763265609741,0.18691159784793854,-4513.00390625,-38.96222686767578,0.00026073481421917677
280000,1775324285.4749713,-1137.1932373046875,3999.0,0.022440467029809952,937.9132690429688,0.004321260377764702,2.307579755783081,0.1863979995250702,-1137.1932373046875,-67.28992462158203,0.0002591939992271364
290000,1775324307.663418,-5233.97509765625,3999.0,0.02267022244632244,724.990478515625,0.004295312333852053,2.3157408237457275,0.1858779937028885,-5233.97509765625,-55.18254852294922,0.000257634004810825
300000,1775324330.5247731,,,0.02895183302462101,835.612548828125,0.00426960363984108,2.3147189617156982,0.1853628009557724,,-73.81415557861328,0.0002560884167905897
310000,1775324352.1135294,-1864.5242919921875,3999.0,0.024505268782377243,828.3699340820312,0.004243895411491394,2.334779977798462,0.18484759330749512,-1864.5242919921875,-144.0789031982422,0.0002545428287703544
320000,1775324374.3095515,-2585.193603515625,3772.625,0.024540388956665993,929.872314453125,0.0042182342149317265,2.289666175842285,0.18433335423469543,-2585.193603515625,-56.73749923706055,0.0002530000638216734
330000,1775324396.7636178,-9569.224609375,3999.0,0.017854109406471252,837.9635620117188,0.004192286171019077,2.273319721221924,0.18381334841251373,-9569.224609375,-33.978004455566406,0.000251440069405362
340000,1775324419.1870055,,,0.019621657207608223,409.0793762207031,0.004166657570749521,2.283515691757202,0.18329975008964539,,-65.66764068603516,0.0002498992544133216
350000,1775324440.131825,-16729.220703125,3999.0,0.022994250059127808,711.4125366210938,0.004140948876738548,2.2787861824035645,0.1827845573425293,-16729.220703125,-63.422386169433594,0.0002483536663930863
360000,1775324462.363225,-725.069091796875,3999.0,0.02272210642695427,823.5911254882812,0.004115240648388863,2.2984206676483154,0.18226934969425201,-725.069091796875,-67.5649642944336,0.000246808078372851
370000,1775324484.742895,-1648.01904296875,3999.0,0.024419687688350677,383.2271728515625,0.0040892125107347965,2.2724764347076416,0.18174774944782257,-1648.01904296875,13.204133987426758,0.00024524328182451427
380000,1775324507.201605,,,0.02783820405602455,605.529541015625,0.004063504282385111,2.281181573867798,0.18123255670070648,,-20.501115798950195,0.0002436976647004485
390000,1775324528.3248444,3084.861328125,3999.0,0.02455822378396988,533.542236328125,0.004037795588374138,2.289778709411621,0.1807173490524292,3084.861328125,-71.59359741210938,0.00024215206212829798
400000,1775324550.4452007,-3656.138671875,3999.0,0.027135813608765602,530.1250610351562,0.004012087360024452,2.305760383605957,0.1802021563053131,-3656.138671875,-111.66117858886719,0.00024060647410806268
410000,1775324572.4586926,3135.237548828125,3999.0,0.02659674547612667,650.9019775390625,0.003986218944191933,2.305856704711914,0.17968374490737915,3135.237548828125,28.52073860168457,0.00023905126727186143
420000,1775324594.98863,,,0.024000581353902817,1230.8533935546875,0.003960510715842247,2.3126296997070312,0.17916855216026306,,-47.483619689941406,0.0002375056646997109
430000,1775324616.0894318,2204.1474609375,3999.0,0.023905839771032333,475.5246276855469,0.003934802021831274,2.32170033454895,0.17865334451198578,2204.1474609375,-4.522989749908447,0.0002359600766794756
440000,1775324638.4460273,-761.5403442382812,3999.0,0.024451492354273796,454.6663513183594,0.003909093793481588,2.297051429748535,0.1781381517648697,-761.5403442382812,-5.983304023742676,0.00023441447410732508
450000,1775324660.4087276,-547.0059814453125,3999.0,0.027483519166707993,1311.2479248046875,0.0038832256104797125,2.3211147785186768,0.17761975526809692,-547.0059814453125,-39.87551498413086,0.00023285926727112383
460000,1775324682.817692,,,0.022029530256986618,1423.1605224609375,0.003857517149299383,2.314945936203003,0.17710454761981964,,-111.25833892822266,0.00023131367925088853
470000,1775324704.14672,-1409.615234375,3999.0,0.02928801439702511,740.2853393554688,0.00383180845528841,2.320591688156128,0.17658935487270355,-1409.615234375,-103.42059326171875,0.000229768076678738
480000,1775324726.0119307,-4060.727294921875,3998.75,0.023245131596922874,814.85302734375,0.003806099994108081,2.3157601356506348,0.17607414722442627,-4060.727294921875,-42.04010772705078,0.00022822247410658747
490000,1775324748.1404138,-1136.9525146484375,3999.0,0.024241512641310692,699.8248901367188,0.0037802369333803654,2.319209337234497,0.17555585503578186,-1136.9525146484375,7.2827911376953125,0.00022666757286060601
500000,1775324770.5248,,,0.025644633919000626,687.1647338867188,0.003754528472200036,2.317770481109619,0.17504064738750458,,-81.02030181884766,0.00022512197028845549
510000,1775324792.3061192,-6319.9052734375,3183.0,0.026796957477927208,566.5205078125,0.0037288200110197067,2.3178744316101074,0.1745254546403885,-6319.9052734375,-59.047359466552734,0.00022357638226822019
520000,1775324814.9967058,-1284.6583251953125,3999.0,0.026972701773047447,768.9351806640625,0.003702951828017831,2.3152737617492676,0.17400704324245453,-1284.6583251953125,-89.22856903076172,0.00022202117543201894
530000,1775324834.1227517,-93.9472885131836,3999.0,,,,2.3213369846343994,,-93.9472885131836,37.07585906982422,
540000,1775324857.24267,,,0.02774183824658394,727.9196166992188,0.003677323227748275,2.3103489875793457,0.17349344491958618,,-42.62628936767578,0.00022048037499189377
550000,1775324878.627769,-768.0869140625,3999.0,0.02696399949491024,983.8516845703125,0.0036516147665679455,2.313542127609253,0.1729782521724701,-768.0869140625,-73.87018585205078,0.00021893477241974324
560000,1775324901.480957,-5.278121471405029,3999.0,0.022331463173031807,947.9756469726562,0.0036259859334677458,2.3157248497009277,0.17246465384960175,-5.278121471405029,-54.306846618652344,0.00021739397197961807
570000,1775324922.948391,-16630.638671875,3999.0,0.02378440462052822,743.0057373046875,0.003599958261474967,2.317430019378662,0.1719430536031723,-16630.638671875,-8.90674877166748,0.00021582917543128133
580000,1775324945.6080115,,,0.021603183820843697,661.5550537109375,0.003574329661205411,2.3189587593078613,0.17142945528030396,,-4.855732440948486,0.00021428837499115616
590000,1775324967.0693552,232.0926513671875,3936.5,0.020355135202407837,694.484619140625,0.003548620967194438,2.32099986076355,0.17091424763202667,232.0926513671875,-28.227636337280273,0.00021274277241900563
600000,1775324990.2853222,-2272.569091796875,3999.0,0.02188616432249546,579.29248046875,0.003522984916344285,2.322080135345459,0.1704005002975464,-2272.569091796875,-54.068275451660156,0.00021120153542142361
610000,1775325012.3771036,2493.162109375,3999.0,0.025393903255462646,694.187255859375,0.0034969570115208626,2.319406509399414,0.16987890005111694,2493.162109375,-34.33015823364258,0.00020963672432117164
620000,1775325035.0909367,1085.076904296875,2520.0,0.028949404135346413,1036.765625,0.0034713284112513065,2.3229820728302,0.1693653017282486,1085.076904296875,-105.47875213623047,0.00020809592388104647
630000,1775325057.1789575,36.18860626220703,3999.0,0.029240088537335396,927.0176391601562,0.0034456374123692513,2.3185739517211914,0.16885045170783997,36.18860626220703,-123.09088897705078,0.00020655138359870762
640000,1775325079.6133246,-6202.31787109375,3999.0,0.02141483686864376,850.977294921875,0.003420008812099695,2.304844379425049,0.16833685338497162,-6202.31787109375,-132.49952697753906,0.00020501058315858245
650000,1775325101.7663817,1344.808349609375,3999.0,0.01974027045071125,714.1598510742188,0.0033939809072762728,2.301755905151367,0.16781525313854218,1344.808349609375,-33.138187408447266,0.0002034457866102457
660000,1775325124.3135092,-8377.2548828125,3999.0,0.029412811622023582,1173.438232421875,0.0033683523070067167,2.2784016132354736,0.16730165481567383,-8377.2548828125,-10.510333061218262,0.00020190498617012054
670000,1775325146.0134602,-6995.20166015625,3999.0,0.019958695396780968,749.24169921875,0.0033426438458263874,2.2897322177886963,0.16678644716739655,-6995.20166015625,25.87747573852539,0.00020035938359797
680000,1775325168.598469,1069.4498291015625,3999.0,0.028234686702489853,415.421630859375,0.0033170152455568314,2.282566785812378,0.1662728488445282,1069.4498291015625,18.23565673828125,0.00019881858315784484
690000,1775325190.2422318,-945.5743408203125,3999.0,0.018862750381231308,683.289306640625,0.0032909074798226357,2.2615811824798584,0.165749654173851,-945.5743408203125,18.731884002685547,0.00019724898447748274
700000,1775325212.3220944,2449.44970703125,3999.0,0.021949971094727516,636.1199340820312,0.0032652788795530796,2.291755437850952,0.16523605585098267,2449.44970703125,-53.50700378417969,0.00019570818403735757
710000,1775325234.0907364,1990.9239501953125,3999.0,0.019476739689707756,815.8778686523438,0.0032396502792835236,2.277247667312622,0.16472244262695312,1990.9239501953125,-84.95809936523438,0.0001941673835972324
720000,1775325256.5367465,-3429.07373046875,3999.0,0.023436056450009346,733.9721069335938,0.0032140216790139675,2.2769064903259277,0.16420884430408478,-3429.07373046875,-127.07563781738281,0.00019262658315710723
730000,1775325278.1145315,-7833.2109375,3999.0,0.029105136170983315,877.5277709960938,0.003187913913279772,2.277907371520996,0.1636856496334076,-7833.2109375,-75.41478729248047,0.00019105698447674513
740000,1775325300.5280788,-11977.9951171875,3999.0,0.028866548091173172,683.7889404296875,0.0031622853130102158,2.2501614093780518,0.16317205131053925,-11977.9951171875,-65.52861785888672,0.00018951618403661996
750000,1775325322.0615187,-7569.419921875,3999.0,0.022441202774643898,747.5103149414062,0.0031366567127406597,2.2500247955322266,0.1626584529876709,-7569.419921875,-71.46205139160156,0.0001879753835964948
760000,1775325344.7783895,-3247.6083984375,3999.0,0.021954741328954697,732.8175659179688,0.0031110281124711037,2.26070499420166,0.16214485466480255,-3247.6083984375,-49.186119079589844,0.00018643458315636963
770000,1775325366.515615,53.77250671386719,2626.0,0.027722325176000595,604.5973510742188,0.0030849853064864874,2.269397258758545,0.16162295639514923,53.77250671386719,-29.336519241333008,0.00018486888438928872
780000,1775325389.3156412,1484.433837890625,3999.0,0.02431912161409855,1264.1773681640625,0.0030593564733862877,2.3019707202911377,0.1611093431711197,1484.433837890625,-151.77633666992188,0.00018332808394916356
790000,1775325410.8980532,-1766.0106201171875,3999.0,0.026853574439883232,811.74267578125,0.0030337278731167316,2.2861804962158203,0.16059574484825134,-1766.0106201171875,-167.01394653320312,0.0001817872835090384
800000,1775325433.557738,-5757.24365234375,3999.0,0.024838149547576904,900.4801025390625,0.0030080194119364023,2.3190364837646484,0.16008055210113525,-5757.24365234375,-164.12075805664062,0.0001802416954888031
810000,1775325455.5634542,-2463.5625,2872.666748046875,0.02613835223019123,878.89306640625,0.0029820390045642853,2.234774589538574,0.15955990552902222,-2463.5625,-60.069580078125,0.00017867973656393588
820000,1775325497.504578,-18540.3046875,3999.0,0.02029266394674778,608.6495361328125,0.00295561202801764,2.2431511878967285,0.15903030335903168,-18540.3046875,-52.26856231689453,0.00017709094390738755
830000,1775325517.8189435,,,,,,2.234623670578003,,,-61.08976364135742,
840000,1775325540.7275229,,,0.023240309208631516,1223.7596435546875,0.0029284663032740355,2.238571882247925,0.15848630666732788,,-97.96906280517578,0.0001754589466145262
850000,1775325562.2017097,,,0.021775314584374428,944.3518676757812,0.0029013208113610744,2.2752039432525635,0.1579422950744629,,-139.40777587890625,0.00017382694932166487
860000,1775325584.4497883,-4608.8203125,3998.0,0.022015303373336792,560.896484375,0.00287417508661747,2.2562806606292725,0.1573982983827591,-4608.8203125,-67.86512756347656,0.0001721949374768883
870000,1775325606.8797793,73.49348449707031,462.0,0.02241828478872776,463.9057312011719,0.002847975119948387,2.1993517875671387,0.15687325596809387,73.49348449707031,-8.43116569519043,0.00017061979451682419
880000,1775325630.1851537,,,0.027007408440113068,863.9580688476562,0.002822266658768058,2.2508156299591064,0.1563580483198166,,-146.27073669433594,0.00016907419194467366
890000,1775325651.8353796,,,0.021316606551408768,637.0110473632812,0.0027952808886766434,2.2347123622894287,0.15581725537776947,,-105.189453125,0.00016745179891586304
900000,1775325673.6173534,-2893.92919921875,3999.0,0.021777339279651642,1070.2320556640625,0.0027695721946656704,2.242232084274292,0.1553020477294922,-2893.92919921875,-25.163448333740234,0.0001659061963437125
910000,1775325696.1737425,-4489.5693359375,3999.0,0.029523201286792755,577.2477416992188,0.002743384800851345,2.2316274642944336,0.15477724373340607,-4489.5693359375,31.257638931274414,0.00016433179553132504
920000,1775325718.5255227,,,0.021745087578892708,1522.98046875,0.0027176763396710157,2.249054193496704,0.15426205098628998,,-32.51963806152344,0.00016278619295917451
930000,1775325739.8652642,,,0.02965831570327282,749.9580078125,0.0026906903367489576,2.2306814193725586,0.15372124314308167,,-28.366201400756836,0.0001611637999303639
940000,1775325761.5495226,-441.761474609375,3999.0,0.01882343180477619,1093.6943359375,0.0026649818755686283,2.2252655029296875,0.15320605039596558,-441.761474609375,-8.214902877807617,0.00015961819735821337
950000,1775325783.8243072,-9296.7568359375,3999.0,0.027612635865807533,626.0106201171875,0.002638794481754303,2.172365665435791,0.15268124639987946,-9296.7568359375,21.934770584106445,0.0001580437965458259
960000,1775325806.1333613,,,0.025577479973435402,900.2366333007812,0.00261308578774333,2.20633602142334,0.15216605365276337,,-15.346650123596191,0.00015649819397367537
970000,1775325827.8974888,,,0.019963214173913002,905.9661254882812,0.0025861000176519156,2.2192723751068115,0.15162524580955505,,-113.22407531738281,0.00015487580094486475
980000,1775325849.7085705,-1727.533447265625,3999.0,0.019994424656033516,660.502197265625,0.0025596730411052704,2.2305586338043213,0.15109564363956451,-1727.533447265625,-74.64806365966797,0.0001532869937364012
990000,1775325871.8329363,-5242.2451171875,3999.0,0.02709590457379818,567.67919921875,0.0025340442080050707,2.16418194770813,0.15058204531669617,-5242.2451171875,5.487440586090088,0.00015174619329627603
1000000,1775325894.2490423,,,0.022353719919919968,817.0375366210938,0.0025070584379136562,2.243173599243164,0.15004125237464905,,-84.74256134033203,0.0001501238002674654
